turn,causal_score_effect_pts,critic_value_delta
478,9.375000,-0.609872
491,46.875000,-0.219992
435,-3.125000,-0.422381
518,15.625000,-0.446000
555,0.000000,-0.465648
496,-31.250000,-0.743727
469,21.875000,-0.199045
481,0.000000,-0.287560
411,46.875000,-0.280023
593,-6.250000,-0.238028
484,18.750000,-0.057296
430,40.625000,-0.377551
590,6.250000,-0.039354
574,34.375000,-0.210295
423,34.375000,-0.186099
473,-31.250000,-0.484903
494,-12.500000,-0.732309
494,0.000000,-0.030771
486,71.875000,-0.347606
421,87.500000,-0.406529
442,-43.750000,-1.401814
454,0.000000,-0.773188
418,-6.250000,-0.703639
451,-56.250000,-0.453521
475,-3.125000,-0.682318
431,6.250000,-1.188035
442,-6.250000,-0.156332
549,-53.125000,-0.701765
528,-12.500000,-0.524260
572,6.250000,-0.300612
524,9.375000,-0.379236
445,-25.000000,-0.570276
466,-6.250000,-0.389383
429,81.250000,-0.502951
453,0.000000,-0.194518
445,0.000000,-0.713242
432,-81.250000,-0.632486
498,-18.750000,-0.631139
409,0.000000,-0.321437
529,-18.750000,-0.811040
435,-50.000000,-0.549940
556,0.000000,-0.012770
421,25.000000,-0.461738
532,28.125000,-0.374033
409,25.000000,-0.625538
593,6.250000,-0.136719
402,0.000000,-0.163906
424,6.250000,-0.593232
472,15.625000,-0.729323
419,-81.250000,-0.854422
